W	36982226944	262144
W	30686314496	262144
W	1221853184	262144
R	30686511104	65536
W	6170345472	262144
R	30686445568	131072
R	1221853184	131072
W	41087664128	262144
W	17064263680	262144
R	17064468480	4096
W	20031471616	262144
W	45115244544	262144
W	3273392128	262144
W	43742396416	262144
W	6746013696	262144
R	3273457664	65536
W	21286879232	262144
R	6746144768	131072
R	1221873664	4096
W	25415122944	262144
R	21287010304	131072
W	44345589760	262144
W	26035355648	262144
R	6170345472	131072
W	38456262656	262144
W	33700184064	262144
W	43145756672	262144
R	25415254016	131072
W	48052305920	262144
R	44345839616	4096
R	21287010304	65536
R	17064394752	131072
R	38456393728	65536
W	29706682368	262144
W	45308706816	262144
R	20031643648	4096
W	5841879040	262144
R	48052482048	4096
W	15228993536	262144
W	20693385216	262144
W	46777237504	262144
R	25415319552	65536
W	8850243584	262144
W	43018092544	262144
W	25338052608	262144
R	33700315136	131072
R	6170382336	4096
R	17064394752	131072
W	17943756800	262144
R	21287010304	131072
R	21287010304	131072
W	33537130496	262144
R	43018223616	65536
R	15228993536	131072
W	21139816448	262144
R	3273392128	131072
R	20693385216	65536
W	49622286336	262144
W	34886123520	262144
R	8850243584	131072
R	34886123520	131072
R	43145953280	65536
W	10370416640	262144
W	21653094400	262144
W	1856241664	262144
R	41087664128	131072
W	22883074048	262144
W	29422256128	262144
W	51506839552	262144
W	50585141248	262144
W	35961438208	262144
W	2849505280	262144
W	10558636032	262144
W	19059965952	262144
W	4061659136	262144
W	38709493760	262144
W	15391260672	262144
R	49622286336	131072
R	26035601408	4096
R	46777430016	4096
W	25840320512	262144
R	10370465792	4096
W	17919377408	262144
R	45115375616	131072
W	17554735104	262144
R	17919442944	65536
W	12685410304	262144
W	46173782016	262144
R	38709567488	4096
W	29760684032	262144
W	40105410560	262144
W	19501154304	262144
W	15721037824	262144
W	120586240	262144
W	7822376960	262144
W	14137425920	262144
R	34886123520	131072
W	28354281472	262144
W	46922989568	262144
W	19191824384	262144
R	8850243584	65536
R	19060031488	65536
W	13326352384	262144
W	16608133120	262144
R	30686519296	4096
R	21139951616	4096
W	48782114816	262144
R	46923034624	4096
W	51334086656	262144
W	50496274432	262144
R	20031602688	131072
W	42684383232	262144
W	20741095424	262144
R	13326585856	4096
W	45265190912	262144
W	28308406272	262144
R	46777368576	65536
W	52040564736	262144
R	6746247168	4096
R	7822442496	65536
R	28308455424	4096
R	38709559296	65536
W	38463078400	262144
W	29924524032	262144
W	20537147392	262144
W	44573130752	262144
W	44563431424	262144
W	17238327296	262144
W	17230200832	262144
W	1830289408	262144
W	50499158016	262144
W	47498919936	262144
W	34234433536	262144
R	25415319552	65536
W	52326563840	262144
R	48052436992	65536
R	29760684032	131072
W	43768348672	262144
W	32096124928	262144
R	44345720832	131072
W	50080776192	262144
W	20891828224	262144
R	29706780672	4096
R	38456393728	65536
W	49026170880	262144
W	6276251648	262144
W	14346878976	262144
R	50496331776	4096
W	44715999232	262144
W	1799094272	262144
R	43742416896	4096
R	43768348672	65536
W	50881101824	262144
R	47499051008	131072
R	52326563840	131072
R	51506970624	131072
W	18991808512	262144
R	1856241664	4096
R	17230422016	4096
W	30472929280	262144
R	30686445568	131072
W	39626735616	262144
W	27219197952	262144
R	50881167360	65536
W	38787874816	262144
R	2849505280	131072
W	12932874240	262144
R	43742396416	131072
W	11713380352	262144
W	29830938624	262144
R	43768348672	131072
W	12330991616	262144
W	33216004096	262144
W	44243877888	262144
W	33639366656	262144
W	14936440832	262144
R	34234564608	131072
W	14463795200	262144
W	47415558144	262144
W	38933889024	262144
R	46173782016	131072
R	42684514304	65536
W	32787660800	262144
R	46777368576	131072
R	41087664128	131072
W	49604722688	262144
W	6481772544	262144
W	48206708736	262144
W	35312369664	262144
W	44692930560	262144
W	5934678016	262144
W	5684330496	262144
W	13139443712	262144
R	49604935680	4096
R	14936440832	131072
R	17238327296	131072
R	46923034624	4096
R	46173782016	131072
W	22977183744	262144
W	9928179712	262144
W	17184849920	262144
W	2997878784	262144
R	21287010304	65536
W	12655001600	262144
R	32787902464	4096
W	47549251584	262144
W	10709368832	262144
W	12498501632	262144
W	5518393344	262144
R	14347100160	4096
W	36599496704	262144
W	10616569856	262144
W	23223599104	262144
R	44692930560	65536
W	15268052992	262144
W	24749277184	262144
W	14818476032	262144
R	4061790208	131072
R	44715999232	131072
W	40664825856	262144
W	7279738880	262144
W	37613469696	262144
W	20161495040	262144
W	41965846528	262144
R	1799311360	4096
R	49026301952	65536
W	40035680256	262144
W	31381782528	262144
W	18125160448	262144
W	16443768832	262144
W	18574475264	262144
W	487587840	262144
W	32420397056	262144
R	18125160448	131072
W	5468061696	262144
R	17064394752	131072
W	8576303104	262144
R	5518610432	4096
W	3957325824	262144
W	28618260480	262144
W	3411804160	262144
W	51223199744	262144
W	34245705728	262144
W	49606033408	262144
W	34876686336	262144
R	20741160960	65536
R	3957407744	4096
W	21415329792	262144
W	42310303744	262144
W	14504165376	262144
W	42910089216	262144
R	12932874240	65536
W	26666860544	262144
W	607387648	262144
R	30473125888	65536
W	34268250112	262144
R	47415689216	131072
R	12932874240	65536
R	49622294528	4096
R	33216122880	4096
W	21502361600	262144
W	16841441280	262144
W	18354012160	262144
W	31395414016	262144
R	120807424	4096
W	2873884672	262144
W	6272843776	262144
W	52396818432	262144
R	3411804160	131072
R	29831069696	131072
W	35062284288	262144
W	6939213824	262144
R	1799290880	65536
W	40468742144	262144
W	38308151296	262144
W	40905998336	262144
W	42340188160	262144
R	52397015040	65536
W	21085028352	262144
W	26829389824	262144
W	45782138880	262144
W	37483184128	262144
W	19781386240	262144
R	34234564608	65536
R	26829389824	131072
W	14168358912	262144
W	41727819776	262144
R	21415460864	65536
W	18091343872	262144
W	24261951488	262144
W	4726980608	262144
R	21287010304	65536
W	17448304640	262144
R	31395610624	65536
W	43320868864	262144
W	27985182720	262144
W	40325349376	262144
R	34268381184	131072
R	5518589952	65536
W	24148705280	262144
W	42271244288	262144
R	6170382336	4096
R	40105541632	131072
R	18574475264	65536
W	8021606400	262144
W	21468545024	262144
W	49840652288	262144
W	13863485440	262144
W	50767593472	262144
W	6156976128	262144
R	17554800640	65536
