R	308612898816	65536
R	308832739328	65536
R	280613703680	65536
W	356079632384	65536
R	308613029888	65536
R	305388404736	65536
R	308832870400	65536
R	308613160960	65536
W	356079763456	65536
R	281232109568	65536
R	314387697664	65536
R	308613292032	65536
W	356079894528	65536
R	281232240640	65536
R	314387828736	65536
W	356080025600	65536
W	356080156672	65536
R	313649168384	65536
R	304789839872	65536
R	279553212416	65536
W	356080287744	65536
W	356080418816	65536
R	280746565632	65536
W	356080549888	65536
R	312230502400	65536
R	297321455616	65536
R	312230633472	65536
R	304666177536	65536
R	297039138816	65536
R	297321586688	65536
R	313450545152	65536
R	289230987264	65536
R	297321717760	65536
W	3560806465536	65536
R	316595265536	65536
R	279940624384	65536
R	297321848832	65536
W	356080775168	65536
R	289231118336	65536
W	356080906240	65536
R	289231249408	65536
W	356081037312	65536
R	280145543168	65536
R	308453953536	65536
R	280563838976	65536
R	295727820800	65536
R	288041951232	65536
R	289231380480	65536
R	280293101568	65536
R	280563970048	65536
W	356079218688	65536
R	287463313408	65536
R	288042082304	65536
R	280370614272	65536
R	288042213376	65536
R	289231511552	65536
W	356079349760	65536
R	283764666368	65536
R	283534548992	65536
R	288042344448	65536
R	308392722432	65536
R	280370745344	65536
R	288042475520	65536
R	280370876416	65536
R	311114432512	65536
R	288042606592	65536
R	280792469504	65536
R	280111964160	65536
R	288042737664	65536
R	280371007488	65536
R	289231642624	65536
R	311114563584	65536
W	356081139712	65536
R	288042868736	65536
R	280371138560	65536
R	311114694656	65536
W	356081270784	65536
R	289231773696	65536
R	289231904768	65536
W	356081401856	65536
R	289232035840	65536
W	356081532928	65536
W	356081664000	65536
R	289232166912	65536
W	356081795072	65536
R	289232297984	65536
R	289232429056	65536
W	356081926144	65536
R	289232560128	65536
W	356082057216	65536
R	289232691200	65536
W	356082188288	65536
R	314366631936	65536
R	289232822272	65536
R	289232953344	65536
W	356082229248	65536
W	356082360320	65536
R	310708121600	65536
W	356082491392	65536
R	293762904064	65536
